-- Medz's Given Hits Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[GIVE] > Name: real_me(1) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 63.00 | Time: 14:40:10 | Date: 10/02/23
[GIVE] > Name: real_me(1) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 21.00 | Time: 14:40:11 | Date: 10/02/23
[GIVE] > Name: real_me(1) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 19.80 | Health: 77.00 | Armor: 0.00 | Time: 14:40:13 | Date: 10/02/23
[GIVE] > Name: real_me(1) | Class: Police Officer | Weapon: Combat Shotgun | Damage: 39.60 | Health: 56.00 | Armor: 0.00 | Time: 14:40:13 | Date: 10/02/23
[GIVE] > Name: []_Melly(14) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 100.00 | Time: 14:43:19 | Date: 10/02/23
[GIVE] > Name: []_Melly(14) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 63.00 | Time: 14:43:20 | Date: 10/02/23
[GIVE] > Name: []_Melly(14) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 21.00 | Time: 14:43:21 | Date: 10/02/23
[GIVE] > Name: []_Melly(14) | Class: Highly Wanted | Weapon: Desert Eagle | Damage: 46.20 | Health: 77.00 | Armor: 0.00 | Time: 14:43:39 | Date: 10/02/23
[GIVE] > Name: []_Melly(14) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 0.00 | Time: 14:46:42 | Date: 10/02/23
[GIVE] > Name: []_Melly(14) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 63.00 | Armor: 0.00 | Time: 14:46:44 | Date: 10/02/23
[GIVE] > Name: []_Melly(14) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 21.00 | Armor: 0.00 | Time: 14:46:46 | Date: 10/02/23
